,% Iron Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate
75,55.2,3116.99,603.912,409.995,10.1258,1.74953,251.51,254.081,251.082,295.096,306.4,251.96,249.642,454.193,501.468,455.546,428.479,466.37,478.178,492.303,66.91
76,55.2,3121.09,600.433,409.995,10.1255,1.74988,251.158,250.433,249.928,295.096,306.4,245.731,249.236,444.058,524.352,455.839,402.796,435.939,479.606,504.306,66.91
77,55.2,3121.09,599.365,409.277,10.1253,1.74978,250.928,248.511,249.39,295.096,306.4,244.116,249.39,441.431,515.43,453.76,398.83,426.3,483.33,508.17,66.91
78,55.2,3104.59,604.126,408.706,10.125,1.74943,250.928,247.083,248.676,295.096,306.4,253.828,250.961,448.588,507.702,459.025,422.444,420.931,455.666,478.758,66.91
79,55.2,3088.09,606.689,403.638,10.1248,1.74909,251.213,249.313,248.719,295.096,306.4,256.63,250.807,455.044,531.516,461.86,441.758,421.979,421.836,429.568,66.91
80,55.2,3090.33,603.912,402.217,10.1246,1.74874,250.796,248.785,248.665,295.096,306.4,248.181,249.697,453.843,523.018,464.31,440.233,431.621,412.732,402.646,66.91
81,55.2,3103.91,607.574,401.499,10.1243,1.7484,250.774,247.632,248.796,295.096,306.4,250.763,249.675,444.634,505.917,456.862,471.521,452.134,433.711,394.947,66.91
82,55.2,3134.77,610.748,409.351,10.1241,1.74806,251.213,247.775,248.95,295.096,306.4,250.225,251.543,453.117,216.37,451.438,498.219,473.889,466.166,412.048,66.91
83,55.2,3153.52,608.582,406.538,10.1238,1.74771,251.367,247.709,250.521,295.096,306.4,245.929,249.895,458.647,308.4095,445.802,492.324,491.932,491.562,449.351,66.91
84,55.2,3152.44,607.697,397.397,10.1234,1.74737,251.082,248.632,251.653,295.096,306.4,246.632,248.796,459.248,400.449,442.619,467.928,487.523,494.642,485.909,66.91
85,55.2,3152.93,605.133,393.677,10.1231,1.74702,250.928,251.455,252.092,295.096,306.4,251.202,250.093,450.189,520.246,442.781,420.487,474.416,490.47,514.187,66.91
86,55.2,3172.07,601.654,396.211,10.1227,1.74668,251.071,250.543,251.96,295.096,306.4,255.839,251.993,443.958,526.448,444.023,410.289,454.614,509.146,531.676,66.91
87,55.2,3203.22,601.379,399.185,10.1224,1.74633,250.576,248.533,250.95,295.096,306.4,248.73,251.115,451.891,510.533,444.941,430.856,443.27,476.05,482.152,66.91
88,55.2,3209.77,600.22,397.046,10.122,1.74599,250.411,251.213,249.631,295.096,306.4,250.4,250.411,454.168,505.434,443.726,445.664,455.692,432.139,421.79,66.91
89,55.2,3193.07,596.588,399.507,10.1217,1.74565,250.345,246.05,248.599,295.096,306.4,254.213,250.488,457.171,381.078,447.533,457.598,462.853,429.902,395.663,66.91
90,55.2,3176.66,597.473,397.09,10.1213,1.7453,249.983,247.357,248.291,295.096,306.4,247.731,251.06,450.014,365.787,452.44,454.238,470.889,467.006,406.065,66.91
91,55.2,3173.14,605.103,390.63,10.121,1.74496,250.115,249.62,248.291,295.096,306.4,249.258,249.225,437.452,350.496,453.058,460.153,472.818,501.558,431.224,66.91
92,55.2,3175.1,606.934,400.474,10.1206,1.74461,250.554,249.39,248.434,295.096,306.4,252.883,248.643,441.556,503.482,449.878,435.155,462.52,495.118,455.724,66.91
